Gene,Predicted Label,Probability
E2F3,[1],[0.778816]
SKI,[1],[0.7786323]
NBN,[1],[0.7786066]
PTK6,[1],[0.7785169]
FGF10,[1],[0.7780724]
NPR1,[1],[0.7769815]
CACNA1D,[1],[0.77673113]
ADCY5,[1],[0.77639943]
APBB1IP,[1],[0.776398]
RAB5C,[1],[0.7763497]
AP2A1,[1],[0.7761837]
STAT5B,[1],[0.775463]
PTK2,[1],[0.7751367]
FPR1,[1],[0.7746615]
GRIN2B,[1],[0.7742447]
ADH1B,[1],[0.7741835]
RBPJ,[1],[0.7739325]
HIF3A,[1],[0.7738166]
ISG15,[1],[0.77366126]
RPTOR,[1],[0.7732911]
PAK3,[1],[0.77316064]
KCNB1,[1],[0.7731522]
CUL3,[1],[0.77295804]
ROCK2,[1],[0.77195597]
ADAMTS5,[1],[0.77160865]
PTPRM,[1],[0.7713534]
AXIN2,[1],[0.771144]
DNAH17,[1],[0.770943]
WNT3A,[1],[0.7707898]
BUB1,[1],[0.77040005]
CDH10,[1],[0.7702754]
CNKSR2,[1],[0.77021354]
MDC1,[1],[0.77012455]
SEC23A,[1],[0.77005565]
TLE1,[1],[0.76994115]
CIT,[1],[0.7693411]
PIK3C2A,[1],[0.76906914]
AP2A2,[1],[0.7686596]
MMP16,[1],[0.7679352]
NOS2,[1],[0.7678207]
IKBKB,[1],[0.7675812]
PTK2B,[1],[0.7671844]
CRB1,[1],[0.76618516]
FBN3,[1],[0.7660538]
ITGAL,[1],[0.76559883]
EVC2,[1],[0.7654036]
NFKBIA,[1],[0.7653812]
LIFR,[1],[0.7652238]
HTT,[1],[0.76520413]
TCF3,[1],[0.7648159]
MYO18B,[1],[0.76481175]
CCNE2,[1],[0.7645726]
SFN,[1],[0.7641887]
CDK4,[1],[0.76407474]
MORF4L1,[1],[0.76405144]
DVL2,[1],[0.76397496]
CDH11,[1],[0.7639645]
ASXL1,[1],[0.7638453]
LTBP4,[1],[0.7637559]
LMNB1,[1],[0.763487]
BST1,[1],[0.7633676]
HIVEP3,[1],[0.76312214]
PRKCE,[1],[0.7626896]
S1PR1,[1],[0.76183534]
EPHA7,[1],[0.7617168]
AKAP13,[1],[0.76160204]
NTRK3,[1],[0.7615731]
MCM7,[1],[0.76147276]
MYH2,[1],[0.76134783]
DOCK1,[1],[0.76134443]
PROC,[1],[0.761036]
THSD7A,[1],[0.76089674]
MAP2K4,[1],[0.76085556]
AFF1,[1],[0.7608361]
TLN2,[1],[0.7605049]
NES,[1],[0.7603764]
TUBB,[1],[0.76037484]
ITGA9,[1],[0.7602567]
AOX1,[1],[0.7600574]
EPHB6,[1],[0.7596094]
SMARCD1,[1],[0.7594123]
MEIS1,[1],[0.75843704]
CHD1,[1],[0.7580576]
IHH,[1],[0.7569261]
SF3B1,[1],[0.7569056]
YWHAB,[1],[0.7558617]
EIF4E,[1],[0.75564235]
CXCL1,[1],[0.7555478]
BMPR1A,[1],[0.7553866]
GPC5,[1],[0.7550898]
RBBP4,[1],[0.75491077]
POLR1A,[1],[0.7545467]
CENPE,[1],[0.7542669]
NMUR2,[1],[0.7540204]
FKBP4,[1],[0.7539962]
DYNLL2,[1],[0.7539876]
RAP1A,[1],[0.75385684]
GAD1,[1],[0.75376683]
IL12RB2,[1],[0.75368214]
HNF1A,[1],[0.75311977]
HSPA1A,[1],[0.7528332]
RBBP7,[1],[0.7524879]
KSR1,[1],[0.7518221]
PRDM16,[1],[0.75160396]
ATAD2,[1],[0.7511627]
ESPL1,[1],[0.7509627]
TAB2,[1],[0.7508193]
CNGB3,[1],[0.75046766]
IGFBP5,[1],[0.75032914]
BIRC5,[1],[0.7502766]
TUBA1A,[1],[0.7500639]
SSH2,[1],[0.74914414]
RAD50,[1],[0.7489908]
RET,[1],[0.74846154]
PLCB1,[1],[0.748391]
FZD2,[1],[0.74813175]
FOXO1,[1],[0.74787176]
ERCC2,[1],[0.74770945]
IL2RG,[1],[0.7474313]
VAV2,[1],[0.74696606]
NIN,[1],[0.74694914]
TYROBP,[1],[0.74686]
CPSF6,[1],[0.74643296]
PBX1,[1],[0.74640715]
TP73,[1],[0.7461513]
PDE3A,[1],[0.74613196]
BSG,[1],[0.74575186]
TCF7L1,[1],[0.74499154]
FGA,[1],[0.74498075]
TRAF2,[1],[0.7447598]
PIK3CB,[1],[0.7440997]
MAP2K1,[1],[0.7436667]
DIDO1,[1],[0.7433278]
ACTA1,[1],[0.7431219]
ARRB2,[1],[0.7430925]
KIF1A,[1],[0.7430718]
PGM1,[1],[0.7427101]
CLTC,[1],[0.7424873]
EPHB3,[1],[0.74168247]
DYRK1A,[1],[0.74160844]
FLT1,[1],[0.7412619]
PSD,[1],[0.7412235]
COL9A2,[1],[0.74113464]
TRPC1,[1],[0.7410014]
BOC,[1],[0.7407066]
